Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
Italy;Abruzzo;1859;179;146;1534;325;2020-04-08 18:00:00
Italy;Umbria;1289;50;416;823;466;2020-04-08 18:00:00
Italy;Sardegna;975;59;76;840;135;2020-04-08 18:00:00
Italy;Calabria;859;60;44;755;104;2020-04-08 18:00:00
Italy;Valle d'Aosta;850;102;142;606;244;2020-04-08 18:00:00
Italy;Basilicata;297;14;13;270;27;2020-04-08 18:00:00
Italy;Molise;226;13;32;181;45;2020-04-08 18:00:00
Italy;Total;139422;17669;26491;95262;44160;2020-04-08 18:00:00
Germany;Total;113296;2349;46300;64647;48649;2020-04-09 11:46:00
France;Total;112950;10869;21254;80827;32123;2020-04-09 11:46:00
Iran;Total;64586;3993;29812;30781;33805;2020-04-09 11:46:00
UK;Total;60733;7097;135;53501;7232;2020-04-09 11:46:00
Turkey;Total;38226;812;1846;35568;2658;2020-04-09 11:46:00
Belgium;Total;24983;2523;5164;17296;7687;2020-04-09 11:46:00
Switzerland;Total;23514;913;9800;12801;10713;2020-04-09 11:46:00
Netherlands;Total;20549;2248;250;18051;2498;2020-04-09 11:46:00
Canada;Total;19438;435;4653;14350;5088;2020-04-09 11:46:00
Brazil;Total;16238;823;173;15242;996;2020-04-09 11:46:00
Portugal;Total;13141;380;196;12565;576;2020-04-09 11:46:00
Austria;Total;13074;295;5240;7539;5535;2020-04-09 11:46:00
S. Korea;Total;10423;204;6973;3246;7177;2020-04-09 11:46:00
Russia;Total;10131;76;698;9357;774;2020-04-09 11:46:00
Israel;Total;9755;79;864;8812;943;2020-04-09 11:46:00
Sweden;Total;8419;687;205;7527;892;2020-04-09 11:46:00
India;Total;6237;186;569;5482;755;2020-04-09 11:46:00
Australia;Total;6104;51;2987;3066;3038;2020-04-09 11:46:00
Ireland;Total;6074;235;25;5814;260;2020-04-09 11:46:00
Norway;Total;6042;101;32;5909;133;2020-04-09 11:46:00
Chile;Total;5546;48;1115;4383;1163;2020-04-09 11:46:00
Denmark;Total;5402;218;1621;3563;1839;2020-04-09 11:46:00
Poland;Total;5341;164;284;4893;448;2020-04-09 11:46:00
Czechia;Total;5335;104;243;4988;347;2020-04-09 11:46:00
Romania;Total;5202;229;647;4326;876;2020-04-09 11:46:00
Japan;Total;4667;94;632;3941;726;2020-04-09 11:46:00
Ecuador;Total;4450;242;140;4068;382;2020-04-09 11:46:00
Pakistan;Total;4414;63;572;3779;635;2020-04-09 11:46:00
Peru;Total;4342;121;1333;2888;1454;2020-04-09 11:46:00
Malaysia;Total;4228;67;1608;2553;1675;2020-04-09 11:46:00
Philippines;Total;4076;203;124;3749;327;2020-04-09 11:46:00
Indonesia;Total;3293;280;252;2761;532;2020-04-09 11:46:00
Mexico;Total;3181;174;633;2374;807;2020-04-09 11:46:00
Luxembourg;Total;3034;46;500;2488;546;2020-04-09 11:46:00
Saudi Arabia;Total;2932;41;631;2260;672;2020-04-09 11:46:00
Serbia;Total;2666;65;118;2483;183;2020-04-09 11:46:00
UAE;Total;2659;12;239;2408;251;2020-04-09 11:46:00
Finland;Total;2605;40;300;2265;340;2020-04-09 11:46:00
Panama;Total;2528;63;16;2449;79;2020-04-09 11:46:00
Thailand;Total;2423;32;940;1451;972;2020-04-09 11:46:00
Qatar;Total;2376;6;206;2164;212;2020-04-09 11:46:00
Dominican Republic;Total;2111;108;50;1953;158;2020-04-09 11:46:00
Colombia;Total;2054;55;123;1876;178;2020-04-09 11:46:00
Ukraine;Total;1892;57;45;1790;102;2020-04-09 11:46:00
Greece;Total;1884;83;269;1532;352;2020-04-09 11:46:00
South Africa;Total;1845;18;95;1732;113;2020-04-09 11:46:00
Argentina;Total;1795;65;358;1372;423;2020-04-09 11:46:00
Singapore;Total;1623;6;406;1211;412;2020-04-09 11:46:00
Iceland;Total;1616;6;633;977;639;2020-04-09 11:46:00
Algeria;Total;1572;205;237;1130;442;2020-04-09 11:46:00
Egypt;Total;1560;103;305;1152;408;2020-04-09 11:46:00
Morocco;Total;1346;96;103;1147;199;2020-04-09 11:46:00
Croatia;Total;1343;19;179;1145;198;2020-04-09 11:46:00
New Zealand;Total;1239;1;317;921;318;2020-04-09 11:46:00
Estonia;Total;1207;24;83;1100;107;2020-04-09 11:46:00
Iraq;Total;1202;69;452;681;521;2020-04-09 11:46:00
Moldova;Total;1174;28;43;1103;71;2020-04-09 11:46:00
Slovenia;Total;1124;43;128;953;171;2020-04-09 11:46:00
Belarus;Total;1066;13;77;976;90;2020-04-09 11:46:00
Hungary;Total;980;66;96;818;162;2020-04-09 11:46:00
Hong Kong;Total;974;4;293;677;297;2020-04-09 11:46:00
Lithuania;Total;955;15;8;932;23;2020-04-09 11:46:00
Armenia;Total;921;10;138;773;148;2020-04-09 11:46:00
Kuwait;Total;910;1;111;798;112;2020-04-09 11:46:00
Bosnia and Herzegovina;Total;841;35;95;711;130;2020-04-09 11:46:00
Bahrain;Total;823;5;477;341;482;2020-04-09 11:46:00
Azerbaijan;Total;822;8;63;751;71;2020-04-09 11:46:00
Kazakhstan;Total;764;7;58;699;65;2020-04-09 11:46:00
Cameroon;Total;730;10;60;660;70;2020-04-09 11:46:00
Diamond Princess;Total;712;11;619;82;630;2020-04-09 11:46:00
Slovakia;Total;701;2;16;683;18;2020-04-09 11:46:00
Tunisia;Total;628;24;25;579;49;2020-04-09 11:46:00
North Macedonia;Total;617;29;35;553;64;2020-04-09 11:46:00
Bulgaria;Total;611;24;48;539;72;2020-04-09 11:46:00
Latvia;Total;589;2;16;571;18;2020-04-09 11:46:00
Lebanon;Total;582;19;62;501;81;2020-04-09 11:46:00
Andorra;Total;564;23;52;489;75;2020-04-09 11:46:00
Uzbekistan;Total;555;3;30;522;33;2020-04-09 11:46:00
Cyprus;Total;526;9;52;465;61;2020-04-09 11:46:00
Costa Rica;Total;502;3;29;470;32;2020-04-09 11:46:00
Afghanistan;Total;484;15;32;437;47;2020-04-09 11:46:00
Cuba;Total;457;12;27;418;39;2020-04-09 11:46:00
Oman;Total;457;2;109;346;111;2020-04-09 11:46:00
Uruguay;Total;456;7;192;257;199;2020-04-09 11:46:00
Burkina Faso;Total;414;23;134;257;157;2020-04-09 11:46:00
Albania;Total;409;22;165;222;187;2020-04-09 11:46:00
Ivory Coast;Total;384;3;48;333;51;2020-04-09 11:46:00
Taiwan;Total;380;5;80;295;85;2020-04-09 11:46:00
Réunion;Total;362;0;40;322;40;2020-04-09 11:46:00
Jordan;Total;358;6;150;202;156;2020-04-09 11:46:00
Channel Islands;Total;351;8;38;305;46;2020-04-09 11:46:00
Honduras;Total;343;23;6;314;29;2020-04-09 11:46:00
Niger;Total;342;11;28;303;39;2020-04-09 11:46:00
Malta;Total;337;2;16;319;18;2020-04-09 11:46:00
