Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
Poland;Total;3503;73;116;3314;189;04/04/2020
Malaysia;Total;3483;57;915;2511;972;04/04/2020
Ecuador;Total;3368;145;65;3158;210;04/04/2020
Philippines;Total;3094;144;57;2893;201;04/04/2020
India;Total;3082;86;229;2767;315;04/04/2020
Japan;Total;2935;69;514;2352;583;04/04/2020
Pakistan;Total;2708;41;130;2537;171;04/04/2020
Luxembourg;Total;2612;31;500;2081;531;04/04/2020
Indonesia;Total;2092;191;150;1751;341;04/04/2020
Thailand;Total;2067;20;612;1435;632;04/04/2020
Saudi Arabia;Total;2039;25;351;1663;376;04/04/2020
Finland;Total;1882;20;300;1562;320;04/04/2020
Mexico;Total;1688;60;633;995;693;04/04/2020
Panama;Total;1673;41;10;1622;51;04/04/2020
Greece;Total;1643;67;78;1498;145;04/04/2020
Peru;Total;1595;61;537;997;598;04/04/2020
South Africa;Total;1505;9;95;1401;104;04/04/2020
Dominican Republic;Total;1488;68;16;1404;84;04/04/2020
Serbia;Total;1476;39;54;1383;93;04/04/2020
Iceland;Total;1364;4;336;1024;340;04/04/2020
Argentina;Total;1353;42;266;1045;308;04/04/2020
Colombia;Total;1267;25;55;1187;80;04/04/2020
UAE;Total;1264;9;108;1147;117;04/04/2020
Algeria;Total;1171;105;62;1004;167;04/04/2020
Singapore;Total;1114;6;282;826;288;04/04/2020
Ukraine;Total;1096;28;23;1045;51;04/04/2020
Croatia;Total;1079;12;92;975;104;04/04/2020
Qatar;Total;1075;3;93;979;96;04/04/2020
Estonia;Total;1018;13;59;946;72;04/04/2020
Egypt;Total;985;66;216;703;282;04/04/2020
Slovenia;Total;977;22;70;885;92;04/04/2020
New Zealand;Total;950;1;127;822;128;04/04/2020
Hong Kong;Total;862;4;173;685;177;04/04/2020
Morocco;Total;844;50;59;735;109;04/04/2020
Iraq;Total;820;54;226;540;280;04/04/2020
Lithuania;Total;771;10;7;754;17;04/04/2020
Armenia;Total;770;7;43;720;50;04/04/2020
Diamond Princess;Total;712;11;619;82;630;04/04/2020
Bahrain;Total;688;4;399;285;403;04/04/2020
Hungary;Total;678;32;58;588;90;04/04/2020
Bosnia and Herzegovina;Total;616;19;27;570;46;04/04/2020
Moldova;Total;591;10;26;555;36;04/04/2020
Kazakhstan;Total;525;5;36;484;41;04/04/2020
Azerbaijan;Total;521;5;32;484;37;04/04/2020
Lebanon;Total;520;17;50;453;67;04/04/2020
Cameroon;Total;509;8;17;484;25;04/04/2020
Latvia;Total;509;1;1;507;2;04/04/2020
Bulgaria;Total;498;15;34;449;49;04/04/2020
Tunisia;Total;495;18;5;472;23;04/04/2020
Kuwait;Total;479;1;93;385;94;04/04/2020
Slovakia;Total;471;1;10;460;11;04/04/2020
Andorra;Total;439;16;16;407;32;04/04/2020
North Macedonia;Total;430;12;20;398;32;04/04/2020
Costa Rica;Total;416;2;11;403;13;04/04/2020
Cyprus;Total;396;11;28;357;39;04/04/2020
Uruguay;Total;386;4;86;296;90;04/04/2020
Taiwan;Total;355;5;50;300;55;04/04/2020
Belarus;Total;351;4;53;294;57;04/04/2020
Albania;Total;332;18;99;215;117;04/04/2020
Réunion;Total;321;0;40;281;40;04/04/2020
Jordan;Total;310;5;58;247;63;04/04/2020
Burkina Faso;Total;302;16;50;236;66;04/04/2020
Afghanistan;Total;299;7;10;282;17;04/04/2020
Oman;Total;277;1;61;215;62;04/04/2020
Cuba;Total;269;6;15;248;21;04/04/2020
